experiment,dataset,target_id,split_id,repeat,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc_shadow_not_for_selection,val_bal_acc,objective,num_selected_features
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.05, 0.5, 5.0)",0.8,full,"[0.05, 0.5, 5.0]",0.912087912087912,0.6982167352537723,0.6885964912280702,0.6979665870115308,0.6982167352537723,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.1, 1.0, 10.0)",0.2,full,"[0.1, 1.0, 10.0]",0.8965201465201466,0.7023319615912208,0.6798245614035088,0.6998573207842871,0.7023319615912208,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.1, 1.0, 10.0)",0.3,full,"[0.1, 1.0, 10.0]",0.8974358974358975,0.6982167352537723,0.6842105263157895,0.6960310225759663,0.6982167352537723,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.1, 1.0, 10.0)",0.4,full,"[0.1, 1.0, 10.0]",0.8992673992673993,0.6982167352537723,0.6885964912280702,0.6960310225759664,0.6982167352537723,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.1, 1.0, 10.0)",0.5,full,"[0.1, 1.0, 10.0]",0.8983516483516484,0.6941015089163237,0.6842105263157895,0.6916074625344288,0.6941015089163237,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.1, 1.0, 10.0)",0.6,full,"[0.1, 1.0, 10.0]",0.9001831501831502,0.691358024691358,0.6864035087719298,0.6890380155829594,0.691358024691358,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.1, 1.0, 10.0)",0.7,full,"[0.1, 1.0, 10.0]",0.8965201465201466,0.6927297668038409,0.6842105263157895,0.6908237298686737,0.6927297668038409,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.1, 1.0, 10.0)",0.8,full,"[0.1, 1.0, 10.0]",0.8891941391941391,0.6941015089163237,0.6929824561403509,0.6919000753270417,0.6941015089163237,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.95,"(0.01, 0.1, 1.0)",0.2,full,"[0.01, 0.1, 1.0]",0.9642857142857144,0.710562414266118,0.6820175438596491,0.7077673161942825,0.710562414266118,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.95,"(0.01, 0.1, 1.0)",0.3,full,"[0.01, 0.1, 1.0]",0.9633699633699634,0.7078189300411523,0.6842105263157895,0.7053396193845632,0.7078189300411523,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9615384615384616,0.7078189300411523,0.6885964912280702,0.7055673752302966,0.7078189300411523,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9615384615384616,0.7078189300411523,0.6907894736842105,0.7060017381646595,0.7078189300411523,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.957875457875458,0.7050754458161865,0.6995614035087719,0.7039611542420532,0.7050754458161865,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.95,"(0.01, 0.1, 1.0)",0.7,full,"[0.01, 0.1, 1.0]",0.9532967032967034,0.7050754458161865,0.706140350877193,0.7034795412604402,0.7050754458161865,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.95,"(0.01, 0.1, 1.0)",0.8,full,"[0.01, 0.1, 1.0]",0.945970695970696,0.7078189300411523,0.7017543859649122,0.7058860893130555,0.7078189300411523,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.95,"(0.05, 0.5, 5.0)",0.2,full,"[0.05, 0.5, 5.0]",0.9184981684981685,0.7119341563786008,0.6864035087719298,0.7098752864202302,0.7119341563786008,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.95,"(0.05, 0.5, 5.0)",0.3,full,"[0.05, 0.5, 5.0]",0.9175824175824177,0.7146776406035665,0.6907894736842105,0.7128057449686663,0.7146776406035665,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9212454212454212,0.7037037037037037,0.6864035087719298,0.7008039523488961,0.7037037037037037,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9212454212454212,0.7023319615912208,0.6907894736842105,0.6998397138846577,0.7023319615912208,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.9212454212454212,0.7037037037037037,0.6907894736842105,0.701096565141509,0.7037037037037037,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.95,"(0.05, 0.5, 5.0)",0.7,full,"[0.05, 0.5, 5.0]",0.9221611721611722,0.6982167352537723,0.6820175438596491,0.6960994213803202,0.6982167352537723,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.95,"(0.05, 0.5, 5.0)",0.8,full,"[0.05, 0.5, 5.0]",0.9267399267399268,0.7091906721536351,0.6820175438596491,0.7076894104983993,0.7091906721536351,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.95,"(0.1, 1.0, 10.0)",0.2,full,"[0.1, 1.0, 10.0]",0.8983516483516484,0.6954732510288066,0.6864035087719298,0.6921845881115545,0.6954732510288066,4000
