dataset,ablation,n,train_mean,train_std,val_mean,val_std,test_mean,test_std,train_size,val_size,test_size,split_policy,selection_rule,train_mean_%,train_std_%,val_mean_%,val_std_%,test_mean_%,test_std_%
texas,ridge_only,10,1.0,0.0,0.8758620689655172,0.02411054823379667,0.8657894736842104,0.04377184192938473,87,58,38,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,87.58620689655172,2.4110548233796667,86.57894736842104,4.377184192938473
texas,row_lowpass_only,10,1.0,0.0,0.846551724137931,0.024985132321016276,0.8263157894736842,0.05144869578461466,87,58,38,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,84.6551724137931,2.4985132321016277,82.63157894736842,5.144869578461466
texas,single_alpha,10,0.9988505747126437,0.003634801908239507,0.8586206896551725,0.032306826028862576,0.8421052631578947,0.04114399789318799,87,58,38,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,99.88505747126437,0.3634801908239507,85.86206896551725,3.2306826028862576,84.21052631578947,4.114399789318799
wisconsin,fixed_dim64_energy095,10,1.0,0.0,0.8425,0.013437096247164304,0.8450980392156863,0.04076461733205931,120,80,51,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,84.25,1.3437096247164304,84.50980392156863,4.076461733205931
wisconsin,no_highpass,10,1.0,0.0,0.81375,0.01904854908443743,0.7921568627450981,0.04547065916581988,120,80,51,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,81.375,1.9048549084437432,79.2156862745098,4.547065916581988
wisconsin,no_p3,10,1.0,0.0,0.84375,0.012147816447594382,0.8568627450980392,0.032086111656558405,120,80,51,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,84.375,1.2147816447594382,85.68627450980392,3.2086111656558405
wisconsin,no_sym,10,1.0,0.0,0.83375,0.0186804264762166,0.8372549019607843,0.03927011473411715,120,80,51,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,83.375,1.86804264762166,83.72549019607844,3.927011473411715
wisconsin,pca_only,10,1.0,0.0,0.75875,0.01958776545590524,0.7823529411764706,0.05100552422255341,120,80,51,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,75.875,1.9587765455905242,78.23529411764706,5.100552422255341
wisconsin,raw_only,10,1.0,0.0,0.85,0.015590239111558133,0.8862745098039216,0.030376339970254317,120,80,51,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,85.0,1.5590239111558133,88.62745098039217,3.0376339970254316
wisconsin,ridge_only,10,1.0,0.0,0.8400000000000001,0.01536590742882148,0.8392156862745098,0.03306957030241447,120,80,51,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,84.00000000000001,1.536590742882148,83.92156862745098,3.306957030241447
wisconsin,row_lowpass_only,10,1.0,0.0,0.8237500000000001,0.009223309842157783,0.8274509803921568,0.040077672462106924,120,80,51,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,82.37500000000001,0.9223309842157783,82.74509803921568,4.007767246210692
wisconsin,single_alpha,10,1.0,0.0,0.8387499999999999,0.010944937947136416,0.8568627450980392,0.043403811021918946,120,80,51,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,83.87499999999999,1.0944937947136417,85.68627450980392,4.340381102191895

