split,class_label,branch_index,confuser_class,seed_size,member_size,basis_dim,radius,median_gain,pair_center_l2_distance,pair_min_principal_angle_deg,pair_coupled_confusion_score,val_fixed_by_this_branch,val_broken_by_this_branch,val_wrong_redirect_by_this_branch,test_fixed_by_this_branch,test_broken_by_this_branch,test_wrong_redirect_by_this_branch,changed_when_removed_test,net_fix_test
5,1,1,0,40,98,64,5.131995944141532,0.7659262796134536,0.4379442244359461,12.677546101475949,4.15736340413901,1,4,3,7,4,1,12,3
5,1,2,2,19,81,58,4.764913484379849,0.8387859558426403,0.4937214071142579,17.513816168195635,1.482984939459533,0,0,1,0,1,0,1,-1
5,2,1,3,37,93,64,4.700892900126473,1.198528253220069,0.4385836650285002,23.076247808629816,2.4254291752636274,0,0,0,0,0,0,0,0
5,2,2,0,26,89,64,5.432672847964323,1.1683039618479416,0.5874040535279182,16.57928681457977,1.429592476277274,2,0,2,0,1,0,1,-1
5,3,1,2,30,98,64,4.592554034034395,0.8490137137166072,0.4385836650285002,23.076247808629816,2.4254291752636274,0,0,0,0,0,0,0,0
5,3,2,0,16,86,64,5.090613593912543,1.3584077127835672,0.7657493266402143,23.012430539177462,0.5613659815138994,1,0,0,1,0,0,1,1
5,4,1,3,21,68,64,4.402382569636744,1.5175744730293195,0.4137286024212141,23.167424658908708,1.2613978183272478,0,0,0,0,0,0,0,0
6,0,1,1,27,92,64,4.933419514112348,0.38023614656956606,0.4815222742592458,12.865846841623476,3.909575405422358,3,0,1,2,1,0,3,1
6,1,1,0,39,100,64,4.943796183084288,0.7242175158200792,0.4815222742592458,12.865846841623476,3.909575405422358,1,4,0,1,1,2,4,0
6,1,2,2,19,79,58,4.715412922426665,0.9946055467748849,0.5134479881288032,17.003898455833106,1.6393061373989088,2,0,0,0,0,0,0,0
6,2,1,3,28,86,64,4.598458726943894,1.2664102938473116,0.46019331414133313,23.95012285274437,1.664801165064675,0,0,0,0,0,0,0,0
6,2,2,0,27,83,64,4.945111426336907,1.1304582632119606,0.6158579456336697,16.415050648792455,1.2705322269777506,1,0,1,2,1,2,5,1
6,3,1,2,22,96,64,4.767274486114417,0.9390321648566615,0.46019331414133313,23.95012285274437,1.664801165064675,0,0,0,0,0,0,0,0
6,4,1,3,25,76,64,4.980581603483104,1.4013415726227207,0.42833933353139175,24.143835435011123,1.5613449922320382,0,0,0,0,0,0,0,0
7,0,1,1,28,93,48,4.924658759620798,0.4207022660153079,0.41672198732662,14.627357998828774,3.3400884310383536,0,0,2,3,2,2,7,1
7,1,1,0,36,94,48,4.785078836137682,0.6473839503180563,0.41672198732662,14.627357998828774,3.3400884310383536,5,4,1,2,2,1,5,0
7,1,2,2,20,76,48,4.751796506817105,0.9132848505593558,0.4459408987908487,18.652801840293687,1.6445132301324275,0,3,0,0,0,0,0,0
7,2,1,3,36,92,48,4.3103878017662085,0.9977503790233968,0.48669456301428393,22.580745392876075,1.7367878779732961,0,0,0,0,0,0,0,0
7,2,2,1,23,87,48,5.144192340842968,0.8728220347493605,0.4459408987908487,18.652801840293687,1.6445132301324275,1,0,0,0,0,1,1,0
7,3,1,2,24,95,48,4.392392587344223,0.6318651921121314,0.48669456301428393,22.580745392876075,1.7367878779732961,1,0,0,0,0,0,0,0
7,3,2,0,18,93,48,5.153712960022945,1.0319326522785108,0.770300981572562,24.744324044584975,0.41724799693024317,1,0,1,0,0,0,0,0
7,4,1,2,24,71,48,4.845466112645656,1.3632610716834135,0.41156658412368957,23.185421342252756,1.4668573287549336,0,0,0,0,0,0,0,0
8,0,1,1,33,92,32,4.923895663966183,0.26029518231152116,0.41952531370130663,14.146682668550387,4.364776426457585,1,0,0,0,3,0,3,-3
8,0,2,3,15,76,32,4.989893843638201,0.2576923638866707,0.7643136854547344,26.944574184417775,0.3953269900890511,3,1,2,0,1,0,1,-1
8,1,1,0,37,97,32,5.133646164378808,0.2617843169618548,0.41952531370130663,14.146682668550387,4.364776426457585,1,2,0,0,0,0,0,0
