split,class_label,branch_index,confuser_class,seed_size,member_size,basis_dim,radius,median_gain,pair_center_l2_distance,pair_min_principal_angle_deg,pair_coupled_confusion_score,val_fixed_by_this_branch,val_broken_by_this_branch,val_wrong_redirect_by_this_branch,test_fixed_by_this_branch,test_broken_by_this_branch,test_wrong_redirect_by_this_branch,changed_when_removed_test,net_fix_test
7,3,2,0,15,91,32,5.265472799724586,0.6285089325079665,0.770300981572562,26.218926499394083,0.38474847872618584,1,0,0,0,0,0,0,0
7,4,1,2,25,72,32,4.885841954274258,0.7089271496446421,0.41156658412368957,24.56745708972877,1.5370286113798652,0,0,0,0,0,0,0,0
8,0,1,1,33,92,32,4.923895663966183,0.2604351600336279,0.41952531370130663,14.146682668550387,4.364776426457585,1,0,0,0,3,0,3,-3
8,0,2,3,15,76,32,4.989893843638201,0.2579871879916348,0.7643136854547344,26.944574184417775,0.3953269900890511,3,1,2,0,1,1,2,-1
8,1,1,0,37,97,32,5.133646164378808,0.27869728207787947,0.41952531370130663,14.146682668550387,4.364776426457585,2,2,0,1,0,0,1,1
8,1,2,2,22,81,32,4.507470141484019,0.3766808748966275,0.4852121635587883,17.36598824425027,2.195915214856192,2,0,2,0,0,0,0,0
8,2,1,3,32,86,32,4.602303973886777,0.5748443420868298,0.4301766004813191,24.508705844819982,2.1060119610563492,2,1,5,1,0,1,2,1
8,2,2,1,28,90,32,4.763620178774675,0.5119625817535605,0.4852121635587883,17.36598824425027,2.195915214856192,1,0,0,0,0,0,0,0
8,3,1,2,28,103,32,4.771337618005916,0.4521995347077046,0.4301766004813191,24.508705844819982,2.1060119610563492,1,0,0,0,0,0,0,0
8,4,1,3,37,79,32,4.920129824964493,0.4931487016042775,0.3925971894807903,24.256881472394706,2.2926966950387486,4,1,0,1,0,0,1,1
9,0,1,1,25,95,48,4.732564283879359,0.27496911065206975,0.4543787849594317,14.4849565957361,2.8730051695912846,2,1,4,0,1,1,2,-1
9,0,2,2,20,84,48,5.006886214996541,0.3310167934229813,0.5669766916081095,16.49022144757423,1.516845060412947,3,0,1,0,0,2,2,0
9,1,1,0,35,102,48,4.911572623383292,0.38898755421722364,0.4543787849594317,14.4849565957361,2.8730051695912846,3,2,0,2,0,0,2,2
9,1,2,2,28,90,48,4.689445433213137,0.6452006207753247,0.4766583177302151,17.830104677536177,2.0024103998420357,2,0,2,2,0,0,2,2
9,2,1,3,28,86,48,4.602271954239958,1.0030908327795691,0.4508960145414731,23.049754452436556,1.6981096433021405,0,0,0,0,0,0,0,0
9,2,2,1,26,87,48,5.2999773271268005,0.828670821047488,0.4766583177302151,17.830104677536177,2.0024103998420357,1,0,0,0,0,0,0,0
9,3,1,2,28,97,48,4.4252274240712435,0.6656705562967895,0.4508960145414731,23.049754452436556,1.6981096433021405,0,0,0,0,0,0,0,0
9,3,2,0,18,85,48,5.067035940985758,1.0134674491547593,0.7733351109818107,24.517800172631446,0.5152676361584142,2,0,0,2,0,0,2,2
