split,best_dim,class_label,branch_index,kind,confuser_class,basis_dim,member_size,radius,class_scale,extra_bias_scale,gate_strength,seed_size,median_gain,pair_center_l2_distance,pair_min_principal_angle_deg,pair_coupled_confusion_score
3,64,0,0,root,,64,219,5.140476403934836,1.9182662992634536,0.0,0.0,,,,,
3,64,0,1,extra,1,64,97,5.103321225207165,1.9182662992634536,0.1,2.5,30,0.41071082411127846,0.4165790410381496,12.286248437765959,5.149963710882738
3,64,0,2,extra,2,63,82,5.348525999695968,1.9182662992634536,0.1,2.5,15,0.3439226813840106,0.577531562247805,17.03234168849365,1.745803312172716
3,64,1,0,root,,64,218,5.11755466806332,1.9943062570692294,0.0,0.0,,,,,
3,64,1,1,extra,0,64,97,5.00438768054624,1.9943062570692294,0.1,2.5,36,0.7774191471367464,0.4165790410381496,12.286248437765959,5.149963710882738
3,64,1,2,extra,2,55,77,4.579380905223264,1.9943062570692294,0.1,2.5,17,0.9226633870685674,0.5220730808872339,17.75689922272845,1.5508900588042533
3,64,2,0,root,,64,219,4.8972212979043155,2.831460969976613,0.0,0.0,,,,,
3,64,2,1,extra,3,64,87,4.630385139646926,2.831460969976613,0.1,2.5,37,1.1424956121499115,0.4195909722020449,23.11689470631724,3.0468637330640043
3,64,2,2,extra,0,64,85,5.186416386384627,2.831460969976613,0.1,2.5,28,1.1325632951192999,0.577531562247805,17.03234168849365,1.745803312172716
3,64,3,0,root,,64,256,4.835674164485496,2.4179542020025013,0.0,0.0,,,,,
3,64,3,1,extra,2,64,109,4.943923001479546,2.4179542020025013,0.1,2.5,37,0.7814788729950513,0.4195909722020449,23.11689470631724,3.0468637330640043
3,64,4,0,root,,64,180,4.877774996962599,2.7477725571108707,0.0,0.0,,,,,
3,64,4,1,extra,3,64,67,4.5488984918429605,2.7477725571108707,0.1,2.5,22,1.576082048509646,0.41975785959909356,24.098511383801014,1.5397580959445167
3,64,4,2,extra,0,62,63,4.71731371680505,2.7477725571108707,0.1,2.5,11,1.3349943873760628,0.790461191167624,26.985097546263603,0.29956590303008124
4,32,0,0,root,,32,209,5.217525399503182,1.995202220648327,0.0,0.0,,,,,
4,32,0,1,extra,1,32,80,4.8914131828294805,1.995202220648327,0.1,2.5,20,0.26567821217480825,0.4364841328906597,14.401277058330173,5.042882888980156
4,32,1,0,root,,32,246,5.073391036786295,2.311878142699509,0.0,0.0,,,,,
4,32,1,1,extra,0,32,114,5.327981238469085,2.311878142699509,0.1,2.5,48,0.3903160011592339,0.4364841328906597,14.401277058330173,5.042882888980156
4,32,2,0,root,,32,210,4.916042127140702,3.072218223717507,0.0,0.0,,,,,
4,32,2,1,extra,3,32,85,4.740172446374063,3.072218223717507,0.1,2.5,42,0.8339811163104871,0.4265748734822913,25.63367219249706,3.367909638786518
