top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc_shadow_not_for_selection,val_bal_acc,objective,num_selected_features,dataset,repeat,seed,split_policy
4000,96,0.99,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9258241758241759,0.6721536351165981,0.7149122807017544,0.6787851345435616,0.6721536351165981,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,96,0.99,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.9304029304029304,0.6748971193415638,0.7214912280701754,0.6821972060736106,0.6748971193415638,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9798534798534798,0.7023319615912208,0.7324561403508771,0.7066872468557862,0.7023319615912208,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,64,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9789377289377289,0.6995884773662552,0.7390350877192983,0.7046466629331798,0.6995884773662552,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9771062271062271,0.6982167352537723,0.7390350877192983,0.7037769245634415,0.6982167352537723,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9532967032967034,0.6776406035665294,0.7083333333333334,0.6834248085652581,0.6776406035665294,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,64,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9551282051282052,0.6803840877914952,0.7149122807017544,0.6866091242495737,0.6803840877914952,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.9532967032967034,0.6790123456790124,0.7149122807017544,0.6854855287439557,0.6790123456790124,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,64,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9807692307692307,0.700960219478738,0.7346491228070176,0.7053358955044348,0.700960219478738,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,64,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9789377289377289,0.6982167352537723,0.7390350877192983,0.7032953115818286,0.6982167352537723,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,64,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.978021978021978,0.6968449931412894,0.7368421052631579,0.7024255732120901,0.6968449931412894,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,64,0.99,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9532967032967034,0.6790123456790124,0.7083333333333334,0.6848234099638594,0.6790123456790124,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,64,0.99,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9542124542124543,0.6803840877914952,0.7149122807017544,0.6866091242495737,0.6803840877914952,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,64,0.99,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.9532967032967034,0.6776406035665294,0.7149122807017544,0.6841341773926044,0.6776406035665294,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,96,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9798534798534798,0.700960219478738,0.7346491228070176,0.7053358955044348,0.700960219478738,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,96,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9789377289377289,0.700960219478738,0.7346491228070176,0.7059980142845312,0.700960219478738,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,96,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9771062271062271,0.700960219478738,0.7390350877192983,0.7062518714204107,0.700960219478738,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,96,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9532967032967034,0.6762688614540466,0.7083333333333334,0.6829633318397363,0.6762688614540466,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,96,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9542124542124543,0.6803840877914952,0.7149122807017544,0.6866091242495737,0.6803840877914952,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,96,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.9560439560439561,0.6790123456790124,0.7171052631578947,0.6854855287439557,0.6790123456790124,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,96,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9826007326007326,0.7064471879286695,0.7302631578947368,0.7105135450641069,0.7064471879286695,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,96,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9826007326007326,0.700960219478738,0.7368421052631579,0.7053358955044349,0.700960219478738,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,96,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9816849816849816,0.6995884773662552,0.7456140350877193,0.7046939129804299,0.6995884773662552,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,96,0.99,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9560439560439561,0.6831275720164609,0.7192982456140351,0.6888774640179134,0.6831275720164609,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,96,0.99,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9587912087912088,0.6831275720164609,0.7258771929824561,0.6888090652135597,0.6831275720164609,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
6000,96,0.99,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.9597069597069597,0.6858710562414266,0.7258771929824561,0.6912840120705288,0.6858710562414266,6000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9499198717948718,0.5727163461538461,0.5917387127761767,0.5731580015328556,0.5727163461538461,4000,squirrel,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9527243589743589,0.5757211538461539,0.595581171950048,0.5760619559483875,0.5757211538461539,4000,squirrel,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9515224358974359,0.5757211538461539,0.5984630163304515,0.5759935269573578,0.5757211538461539,4000,squirrel,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9038461538461539,0.5552884615384616,0.5888568683957733,0.5552593471467797,0.5552884615384616,4000,squirrel,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9058493589743589,0.5552884615384616,0.5859750240153698,0.5552347729721157,0.5552884615384616,4000,squirrel,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.9110576923076923,0.5528846153846154,0.5869356388088377,0.5527172068500927,0.5528846153846154,4000,squirrel,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9499198717948718,0.5727163461538461,0.5917387127761767,0.5731580015328556,0.5727163461538461,4000,squirrel,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9527243589743589,0.5757211538461539,0.595581171950048,0.5760619559483875,0.5757211538461539,4000,squirrel,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9515224358974359,0.5757211538461539,0.5984630163304515,0.5759935269573578,0.5757211538461539,4000,squirrel,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.99,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9038461538461539,0.5552884615384616,0.5888568683957733,0.5552593471467797,0.5552884615384616,4000,squirrel,0,20260419,random_stratified_matching_fixed_split0_class_counts
