dataset,repeat,split_id,seed,split_policy,method,num_nodes,num_features,num_classes,train_size,val_size,test_size,lr,weight_decay,hidden_channels,dropout,train_acc,val_acc,test_acc,best_epoch,time_sec,params,selection_rule
amazon-photo,6,0,6,class_balanced_random_split_seed,sign,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.949999988079071,0.8541666865348816,0.8195862174034119,90,9.335,191304,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,7,0,7,class_balanced_random_split_seed,gat,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.887499988079071,0.8500000238418579,0.832689642906189,75,87.281,193560,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,7,0,7,class_balanced_random_split_seed,graphsage,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.8916666507720947,0.8624827861785889,95,46.465,96456,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,7,0,7,class_balanced_random_split_seed,appnp,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.893750011920929,0.8083333373069763,0.8206896781921387,215,92.554,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,7,0,7,class_balanced_random_split_seed,gcnii,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.768750011920929,0.6791666746139526,0.6550344824790955,260,301.498,81032,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,7,0,7,class_balanced_random_split_seed,correct_smooth,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.8958333134651184,0.859448254108429,125,37.314,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,7,0,7,class_balanced_random_split_seed,linkx,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.8083333373069763,0.6848275661468506,140,17.17,550536,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,7,0,7,class_balanced_random_split_seed,mlp_prop,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.8812500238418579,0.8041666746139526,0.7962758541107178,280,61.624,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,7,0,7,class_balanced_random_split_seed,sign,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.8708333373069763,0.8266206979751587,225,17.449,191304,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,8,0,8,class_balanced_random_split_seed,gat,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.893750011920929,0.8999999761581421,0.849379301071167,55,74.607,193560,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,8,0,8,class_balanced_random_split_seed,graphsage,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.981249988079071,0.8999999761581421,0.8784827589988708,100,48.027,96456,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,8,0,8,class_balanced_random_split_seed,appnp,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.887499988079071,0.9083333611488342,0.8566896319389343,235,100.338,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,8,0,8,class_balanced_random_split_seed,gcnii,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.668749988079071,0.637499988079071,0.6597241163253784,255,307.086,81032,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,8,0,8,class_balanced_random_split_seed,correct_smooth,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.9333333373069763,0.8848276138305664,115,36.11,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,8,0,8,class_balanced_random_split_seed,linkx,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.699999988079071,0.6144827604293823,55,10.129,550536,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,8,0,8,class_balanced_random_split_seed,mlp_prop,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.8999999761581421,0.8999999761581421,0.8495172262191772,195,51.374,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,8,0,8,class_balanced_random_split_seed,sign,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.9937499761581421,0.8958333134651184,0.8645517230033875,160,14.99,191304,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,9,0,9,class_balanced_random_split_seed,gat,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.875,0.8458333611488342,0.8479999899864197,60,80.857,193560,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,9,0,9,class_balanced_random_split_seed,graphsage,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.9750000238418579,0.9041666388511658,0.8918620944023132,140,65.668,96456,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,9,0,9,class_balanced_random_split_seed,appnp,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.893750011920929,0.8500000238418579,0.8135172128677368,185,84.017,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,9,0,9,class_balanced_random_split_seed,gcnii,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.875,0.8374999761581421,0.8360000252723694,300,310.698,81032,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,9,0,9,class_balanced_random_split_seed,correct_smooth,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.9937499761581421,0.8833333253860474,0.8143448233604431,120,36.939,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,9,0,9,class_balanced_random_split_seed,linkx,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.75,0.6406896710395813,90,14.331,550536,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,9,0,9,class_balanced_random_split_seed,mlp_prop,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.918749988079071,0.887499988079071,0.875034511089325,210,55.836,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,9,0,9,class_balanced_random_split_seed,sign,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.981249988079071,0.875,0.855448305606842,110,11.179,191304,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,0,0,0,class_balanced_random_split_seed,gat,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.699999988079071,0.7066666483879089,0.7496227025985718,65,172.486,199710,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,0,0,0,class_balanced_random_split_seed,graphsage,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.9350000023841858,0.8700000047683716,0.7781466841697693,155,144.287,99530,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,0,0,0,class_balanced_random_split_seed,appnp,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.6650000214576721,0.6600000262260437,0.690235435962677,245,220.601,49802,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,0,0,0,class_balanced_random_split_seed,gcnii,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.38499999046325684,0.40666666626930237,0.47872018814086914,250,732.792,82570,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,0,0,0,class_balanced_random_split_seed,correct_smooth,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.9950000047683716,0.8733333349227905,0.7858436703681946,80,73.533,49802,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,0,0,0,class_balanced_random_split_seed,linkx,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.9950000047683716,0.7099999785423279,0.5711590647697449,45,19.337,942602,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,0,0,0,class_balanced_random_split_seed,mlp_prop,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.6650000214576721,0.6499999761581421,0.6878207325935364,190,126.214,49802,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,0,0,0,class_balanced_random_split_seed,sign,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.949999988079071,0.8299999833106995,0.7555840611457825,120,21.431,197066,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,1,0,1,class_balanced_random_split_seed,gat,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.6600000262260437,0.699999988079071,0.5797615647315979,35,137.905,199710,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,1,0,1,class_balanced_random_split_seed,graphsage,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.9599999785423279,0.8633333444595337,0.7959553003311157,145,154.384,99530,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,1,0,1,class_balanced_random_split_seed,appnp,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.699999988079071,0.7266666889190674,0.6905372738838196,280,241.514,49802,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,1,0,1,class_balanced_random_split_seed,gcnii,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.29499998688697815,0.33000001311302185,0.21845759451389313,125,356.721,82570,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,1,0,1,class_balanced_random_split_seed,correct_smooth,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.9950000047683716,0.8366666436195374,0.7962571978569031,110,77.609,49802,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,1,0,1,class_balanced_random_split_seed,linkx,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,1.0,0.6266666650772095,0.45178085565567017,65,22.367,942602,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,1,0,1,class_balanced_random_split_seed,mlp_prop,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.7049999833106995,0.7400000095367432,0.6827648878097534,275,140.366,49802,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,1,0,1,class_balanced_random_split_seed,sign,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.9700000286102295,0.8600000143051147,0.7750528454780579,225,34.942,197066,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,2,0,2,class_balanced_random_split_seed,gat,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.6299999952316284,0.6366666555404663,0.6698611378669739,35,121.899,199710,early_stop_by_postprocessed_val_acc_only_no_test
