experiment,dataset,split,split_policy,ablation,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc,val_bal_acc,num_features_after_variant,pca_dims_json,selection_rule
E05,squirrel,1,fixed_geom_gcn_split,ridge_only,src_v16c_ablation,2496,1664,1041,6000,64,0.95,"(0.01, 0.1, 1.0)",0.0,full,"[0.01, 0.1, 1.0]",0.9831730769230769,0.5871394230769231,0.6157540826128722,0.5905657298373355,18801,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",ablation_grid_selected_by_val_only_no_test
E05,squirrel,1,fixed_geom_gcn_split,single_alpha,src_v16c_ablation,2496,1664,1041,6000,96,0.95,"(1.0,)",0.6,full,[1.0],0.9362980769230769,0.5751201923076923,0.5936599423631124,0.5784159935826484,18801,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}",ablation_grid_selected_by_val_only_no_test
E05,squirrel,1,fixed_geom_gcn_split,fixed_dim64_energy095,src_v16c_ablation,2496,1664,1041,6000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9743589743589743,0.5961538461538461,0.6282420749279539,0.5990927688263026,18801,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",ablation_grid_selected_by_val_only_no_test
E05,squirrel,1,fixed_geom_gcn_split,raw_only,src_v16c_ablation,2496,1664,1041,4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,raw_only,"[0.05, 0.5, 5.0]",0.9403044871794872,0.28665865384615385,0.2862632084534102,0.288315908998615,2089,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",ablation_grid_selected_by_val_only_no_test
E05,squirrel,1,fixed_geom_gcn_split,row_lowpass_only,src_v16c_ablation,2496,1664,1041,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,row_lowpass_only,"[0.01, 0.1, 1.0]",0.9230769230769231,0.5739182692307693,0.5782901056676273,0.5770208915510798,8356,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",ablation_grid_selected_by_val_only_no_test
E05,cornell,0,fixed_geom_gcn_split,full,src_v16c_ablation,87,59,37,4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.8135593220338984,0.7297297297297297,0.5997172182656054,15327,"{""0"": 14, ""1"": 7, ""2"": 14, ""3"": 27, ""4"": 7}",ablation_grid_selected_by_val_only_no_test
E05,cornell,0,fixed_geom_gcn_split,no_p3,src_v16c_ablation,87,59,37,6000,64,0.95,"(0.05, 0.5, 5.0)",0.4,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8135593220338984,0.7027027027027027,0.5997172182656054,13624,"{""0"": 14, ""1"": 7, ""2"": 14, ""3"": 28, ""4"": 7}",ablation_grid_selected_by_val_only_no_test
E05,cornell,0,fixed_geom_gcn_split,no_sym,src_v16c_ablation,87,59,37,4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8305084745762712,0.8108108108108109,0.6247172182656053,10218,"{""0"": 14, ""1"": 7, ""2"": 14, ""3"": 26, ""4"": 7}",ablation_grid_selected_by_val_only_no_test
E05,cornell,0,fixed_geom_gcn_split,no_highpass,src_v16c_ablation,87,59,37,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,no_highpass,"[0.01, 0.1, 1.0]",1.0,0.8135593220338984,0.7297297297297297,0.6101068286552158,10218,"{""0"": 14, ""1"": 7, ""2"": 13, ""3"": 25, ""4"": 7}",ablation_grid_selected_by_val_only_no_test
E05,cornell,0,fixed_geom_gcn_split,pca_only,src_v16c_ablation,87,59,37,4000,64,0.95,"(0.01, 0.1, 1.0)",1.0,full,"[0.01, 0.1, 1.0]",1.0,0.7966101694915254,0.7297297297297297,0.5815354000837871,15327,"{""0"": 14, ""1"": 7, ""2"": 14, ""3"": 27, ""4"": 7}",ablation_grid_selected_by_val_only_no_test
E05,cornell,0,fixed_geom_gcn_split,ridge_only,src_v16c_ablation,87,59,37,4000,64,0.95,"(0.01, 0.1, 1.0)",0.0,full,"[0.01, 0.1, 1.0]",1.0,0.8135593220338984,0.7027027027027027,0.6439568496020109,15327,"{""0"": 14, ""1"": 7, ""2"": 14, ""3"": 27, ""4"": 7}",ablation_grid_selected_by_val_only_no_test
E05,cornell,0,fixed_geom_gcn_split,single_alpha,src_v16c_ablation,87,59,37,4000,64,0.95,"(1.0,)",0.6,full,[1.0],1.0,0.8135593220338984,0.7297297297297297,0.5997172182656054,15327,"{""0"": 14, ""1"": 7, ""2"": 14, ""3"": 27, ""4"": 7}",ablation_grid_selected_by_val_only_no_test
E05,cornell,0,fixed_geom_gcn_split,fixed_dim64_energy095,src_v16c_ablation,87,59,37,4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.8135593220338984,0.7297297297297297,0.5997172182656054,15327,"{""0"": 14, ""1"": 7, ""2"": 14, ""3"": 27, ""4"": 7}",ablation_grid_selected_by_val_only_no_test
E05,cornell,0,fixed_geom_gcn_split,raw_only,src_v16c_ablation,87,59,37,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,raw_only,"[0.01, 0.1, 1.0]",1.0,0.847457627118644,0.7297297297297297,0.6546292417260159,1703,"{""0"": 15, ""1"": 7, ""2"": 15, ""3"": 31, ""4"": 7}",ablation_grid_selected_by_val_only_no_test
E05,cornell,0,fixed_geom_gcn_split,row_lowpass_only,src_v16c_ablation,87,59,37,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,row_lowpass_only,"[0.01, 0.1, 1.0]",1.0,0.8305084745762712,0.7297297297297297,0.6351068286552157,6812,"{""0"": 14, ""1"": 7, ""2"": 14, ""3"": 28, ""4"": 7}",ablation_grid_selected_by_val_only_no_test
E05,cornell,1,fixed_geom_gcn_split,full,src_v16c_ablation,87,59,37,6000,64,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.7627118644067796,0.7027027027027027,0.5633333333333332,15327,"{""0"": 18, ""1"": 5, ""2"": 15, ""3"": 33, ""4"": 9}",ablation_grid_selected_by_val_only_no_test
