stage,changed_class,trial_dim,class_dims_json,objective,val_acc,balanced_norm_true_residual,balanced_true_explained_ratio,mean_fp_rate,mean_dim_frac,accepted,reason,split,base_objective,base_val_acc,fixed_vs_base,broken_vs_base,break_rate
greedy_pass_1,3,32,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 32, ""4"": 64}",0.6715101904260475,0.691358024691358,1.9209815227062699,0.4394276372386988,0.0772864793601267,0.85,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,9,16,0.03131115459882583
greedy_pass_1,3,48,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 48, ""4"": 64}",0.6728054422015499,0.6927297668038409,1.925567983151815,0.44375905110222835,0.07718404875908605,0.9,0,no_objective_gain|val_acc_drop,3,0.6807792942893794,0.700960219478738,1,7,0.0136986301369863
greedy_pass_1,4,16,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 16}",0.6330517825293651,0.6515775034293553,1.766720083525437,0.4263824452080011,0.08820249227838725,0.8,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,8,44,0.08610567514677103
greedy_pass_1,4,24,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 24}",0.6435715772279564,0.6625514403292181,1.8178001661430732,0.4325901820952443,0.08536110841059495,0.825,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,5,33,0.06457925636007827
greedy_pass_1,4,32,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 32}",0.6558205505633318,0.6748971193415638,1.8327416379949326,0.4360193138621627,0.08216148268657289,0.85,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,4,23,0.04500978473581213
greedy_pass_1,4,48,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 48}",0.6704882505368147,0.6899862825788752,1.8802974502166308,0.4425794457305933,0.07826876614082816,0.9,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,3,11,0.021526418786692758
global_init_scan,,16,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16}",0.6512326795806633,0.6652949245541838,1.2795618352744451,0.3528154193032253,0.08389441489944831,1.0,0,,4,,,,,
global_init_scan,,24,"{""0"": 24, ""1"": 24, ""2"": 24, ""3"": 24, ""4"": 24}",0.6760118155797785,0.691358024691358,1.433395868599647,0.3859697689241635,0.0778064750639784,1.0,0,,4,,,,,
global_init_scan,,32,"{""0"": 32, ""1"": 32, ""2"": 32, ""3"": 32, ""4"": 32}",0.6890832090743924,0.7050754458161865,1.5141171871552817,0.40944261611312227,0.07444176673468955,1.0,0,,4,,,,,
global_init_scan,,48,"{""0"": 48, ""1"": 48, ""2"": 48, ""3"": 48, ""4"": 48}",0.6751914431339069,0.6927297668038409,1.6749162589064333,0.4408918463570649,0.07763642331489932,1.0,0,,4,,,,,
global_init_scan,,64,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",0.6669093522245796,0.6886145404663924,2.0971792996716583,0.4597813804996978,0.07862603835475133,1.0,0,,4,,,,,
global_init_accept,,,"{""0"": 32, ""1"": 32, ""2"": 32, ""3"": 32, ""4"": 32}",0.6890832090743924,0.7050754458161865,1.5141171871552817,0.40944261611312227,0.07444176673468955,1.0,1,best_global_objective,4,,,,,
greedy_pass_0,0,16,"{""0"": 16, ""1"": 32, ""2"": 32, ""3"": 32, ""4"": 32}",0.6704194659346422,0.6858710562414266,1.4564387170670827,0.3992896968159616,0.07921809616887161,0.9,0,no_objective_gain|val_acc_drop|break_rate_high,4,0.6890832090743924,0.7050754458161865,6,20,0.038910505836575876
greedy_pass_0,0,24,"{""0"": 24, ""1"": 32, ""2"": 32, ""3"": 32, ""4"": 32}",0.6823665766290629,0.6982167352537723,1.4996916583937956,0.40485320567550953,0.0761327431736744,0.95,0,no_objective_gain|val_acc_drop|break_rate_high,4,0.6890832090743924,0.7050754458161865,3,8,0.01556420233463035
greedy_pass_0,0,48,"{""0"": 48, ""1"": 32, ""2"": 32, ""3"": 32, ""4"": 32}",0.6736120868888016,0.6899862825788752,1.5738844602367856,0.41512056600221986,0.07812500091906249,0.7333333333333334,0,no_objective_gain|val_acc_drop|break_rate_high,4,0.6890832090743924,0.7050754458161865,4,15,0.029182879377431907
greedy_pass_0,0,64,"{""0"": 64, ""1"": 32, ""2"": 32, ""3"": 32, ""4"": 32}",0.6606044711744964,0.6790123456790124,1.7868310520086008,0.419215669404646,0.08082133310242705,0.6,0,no_objective_gain|val_acc_drop|break_rate_high,4,0.6890832090743924,0.7050754458161865,6,25,0.048638132295719845
greedy_pass_0,1,16,"{""0"": 32, ""1"": 16, ""2"": 32, ""3"": 32, ""4"": 32}",0.6602086863775138,0.6762688614540466,1.510393618757248,0.3940835576533433,0.08162865597868119,0.9,0,no_objective_gain|val_acc_drop|break_rate_high,4,0.6890832090743924,0.7050754458161865,7,28,0.054474708171206226
greedy_pass_0,1,24,"{""0"": 32, ""1"": 24, ""2"": 32, ""3"": 32, ""4"": 32}",0.6808649268464411,0.6968449931412894,1.51157440656492,0.40396682090689273,0.0765094756413423,0.95,0,no_objective_gain|val_acc_drop|break_rate_high,4,0.6890832090743924,0.7050754458161865,3,9,0.017509727626459144
greedy_pass_0,1,48,"{""0"": 32, ""1"": 48, ""2"": 32, ""3"": 32, ""4"": 32}",0.6644437115619372,0.6803840877914952,1.5275603963731996,0.4188025381255861,0.08033245424975217,0.7333333333333334,0,no_objective_gain|val_acc_drop|break_rate_high,4,0.6890832090743924,0.7050754458161865,6,24,0.04669260700389105
greedy_pass_0,1,64,"{""0"": 32, ""1"": 64, ""2"": 32, ""3"": 32, ""4"": 32}",0.6379895941618907,0.654320987654321,1.5692570785408897,0.4232586762868572,0.08659287060844062,0.6,0,no_objective_gain|val_acc_drop|break_rate_high,4,0.6890832090743924,0.7050754458161865,7,44,0.08560311284046693
greedy_pass_0,2,16,"{""0"": 32, ""1"": 32, ""2"": 16, ""3"": 32, ""4"": 32}",0.6690289963972164,0.6844993141289437,1.45736027625651,0.399328873236307,0.0797015231053679,0.9,0,no_objective_gain|val_acc_drop|break_rate_high,4,0.6890832090743924,0.7050754458161865,6,21,0.04085603112840467
greedy_pass_0,2,24,"{""0"": 32, ""1"": 32, ""2"": 24, ""3"": 32, ""4"": 32}",0.6768901898310035,0.6927297668038409,1.495646874653109,0.40472452669242703,0.07760031665380213,0.95,0,no_objective_gain|val_acc_drop|break_rate_high,4,0.6890832090743924,0.7050754458161865,4,13,0.02529182879377432
greedy_pass_0,2,48,"{""0"": 32, ""1"": 32, ""2"": 48, ""3"": 32, ""4"": 32}",0.687580736140691,0.7037037037037037,1.5551327393190537,0.41449531000194606,0.0748144038248319,0.7333333333333334,0,no_objective_gain|val_acc_drop|break_rate_high,4,0.6890832090743924,0.7050754458161865,10,11,0.021400778210116732
greedy_pass_0,2,64,"{""0"": 32, ""1"": 32, ""2"": 64, ""3"": 32, ""4"": 32}",0.6773867738431044,0.6941015089163237,1.6239582211417674,0.41753015682843164,0.0772636744557678,0.6,0,no_objective_gain|val_acc_drop|break_rate_high,4,0.6890832090743924,0.7050754458161865,19,27,0.05252918287937743
greedy_pass_0,3,16,"{""0"": 32, ""1"": 32, ""2"": 32, ""3"": 16, ""4"": 32}",0.6731799406601173,0.6886145404663924,1.4584399424824928,0.3999259396410815,0.07749520700072234,0.9,0,no_objective_gain|val_acc_drop|break_rate_high,4,0.6890832090743924,0.7050754458161865,20,32,0.0622568093385214
greedy_pass_0,3,24,"{""0"": 32, ""1"": 32, ""2"": 32, ""3"": 24, ""4"": 32}",0.6893485822269579,0.7050754458161865,1.4916575585334766,0.40561111602356376,0.07413662339939861,0.95,0,candidate_ok,4,0.6890832090743924,0.7050754458161865,7,7,0.013618677042801557
greedy_pass_0,3,48,"{""0"": 32, ""1"": 32, ""2"": 32, ""3"": 48, ""4"": 32}",0.6811090421190107,0.6968449931412894,1.511852213499294,0.4142558655204347,0.07705595080171025,0.7333333333333334,0,no_objective_gain|val_acc_drop|break_rate_high,4,0.6890832090743924,0.7050754458161865,6,12,0.023346303501945526
greedy_pass_0,3,64,"{""0"": 32, ""1"": 32, ""2"": 32, ""3"": 64, ""4"": 32}",0.6795451080439746,0.6954732510288066,1.5442596933117425,0.4176654525007784,0.07781039308587961,0.6,0,no_objective_gain|val_acc_drop|break_rate_high,4,0.6890832090743924,0.7050754458161865,13,20,0.038910505836575876
greedy_pass_0_accept,3,24,"{""0"": 32, ""1"": 32, ""2"": 32, ""3"": 24, ""4"": 32}",0.6893485822269579,0.7050754458161865,1.4916575585334766,0.40561111602356376,0.07413662339939861,0.95,1,best_class_coordinate_update,4,,,7,7,0.013618677042801557
greedy_pass_0,4,16,"{""0"": 32, ""1"": 32, ""2"": 32, ""3"": 24, ""4"": 16}",0.6679428396270898,0.6831275720164609,1.430938400710434,0.3941263163194627,0.08009268237722904,0.85,0,no_objective_gain|val_acc_drop|break_rate_high,4,0.6893485822269579,0.7050754458161865,6,22,0.042801556420233464
