split,class_i,branch_i,kind_i,class_j,branch_j,kind_j,center_l2_distance,center_sq_distance,subspace_overlap_fro,mean_cos2_principal,min_principal_angle_deg
1,2,1,extra,2,2,extra,1.0106388375652178,1.0213908599951744,2.7760490584841446,0.2408265117222097,5.191864495923623
1,2,1,extra,3,0,root,0.4458286594986659,0.1987631936303774,2.720649104131524,0.2313103608691145,26.18064355981784
1,2,1,extra,3,1,extra,0.48839362470379877,0.238528332651315,2.420563431112075,0.1830977288761581,29.39154584704711
1,2,1,extra,4,0,root,0.42162376051763656,0.17776659543303336,2.361983119425564,0.17434263301410363,25.78351125843906
1,2,1,extra,4,1,extra,0.48878762114979185,0.23891333858927244,2.26751449006011,0.16067568633226753,26.979328548123615
1,2,2,extra,3,0,root,0.8977134736297543,0.8058894807363994,1.9665375988018496,0.12085219148441703,31.41379253027621
1,2,2,extra,3,1,extra,1.2510507599384333,1.5651280039425313,1.5466801076137744,0.0747568548527549,35.76881183209346
1,2,2,extra,4,0,root,0.9331322711779408,0.8707358355137023,1.7833711917821586,0.09938790023995366,31.085940736517315
1,2,2,extra,4,1,extra,1.2580880579473748,1.5827855615497972,1.3125314106759784,0.053835584500346076,44.20880084119047
1,3,0,root,3,1,extra,0.5428243254018431,0.29465824824796605,3.75191731816778,0.4399026113239785,1.460434668530454
1,3,0,root,4,0,root,0.390399272379783,0.15241159187466408,2.563108927758194,0.20529773048605493,23.622822301438656
1,3,0,root,4,1,extra,0.6248785415569516,0.390473191698343,2.39765271388932,0.17964807926315074,26.8451720494009
1,3,1,extra,4,0,root,0.6229582654772586,0.3880770005264345,2.054292447169559,0.13187867057805924,26.306363226886486
1,3,1,extra,4,1,extra,0.4820523040174909,0.23237442380857148,2.1377028859338427,0.14280542589155876,26.162948818830365
1,4,0,root,4,1,extra,0.522476290206411,0.2729814738278537,3.4636753398988196,0.3749077143819751,1.446952517940731
2,0,0,root,1,0,root,0.44701888294192405,0.19982588170664556,3.06370798171278,0.29332208116283104,13.555003918733961
2,0,0,root,1,1,extra,0.49648517299660333,0.24649752700546712,2.918248721746618,0.26613048756174285,13.610010924241218
2,0,0,root,1,2,extra,0.5982665275925412,0.35792283803763697,2.6229824836899116,0.21500115967950312,14.017100033083938
2,0,0,root,2,0,root,0.595628381518703,0.3547731688705897,2.6098079025468937,0.21284679025613182,18.471563054359716
2,0,0,root,2,1,extra,0.940435329473121,0.8844186089212178,2.178202825661349,0.14826773592872136,19.36681149307016
2,0,0,root,2,2,extra,0.522346338471292,0.2728456973143655,2.2620577467542256,0.15990328905158768,20.284406010100117
2,0,0,root,3,0,root,0.7890395716470335,0.6225834456249343,2.4234196563734707,0.18353008846554092,29.098054369970598
2,0,0,root,3,1,extra,1.2094266368058266,1.462712789815453,1.5674115248075455,0.07677434025310986,43.901508528158374
2,0,0,root,4,0,root,0.8180169315143883,0.6691517002442152,2.1764688049113543,0.14803176433600806,27.143882761209067
2,0,0,root,4,1,extra,1.1769775378660217,1.3852761246411622,1.5575946249128154,0.07581565673616544,45.28334181169067
2,0,0,root,4,2,extra,0.6996222227522757,0.48947125456883495,2.154395216195222,0.14504433586140172,26.124400407366874
2,1,0,root,1,1,extra,0.5352847513561603,0.2865297650344263,4.61034529826088,0.44281841185825416,1.829892724951368
2,1,0,root,1,2,extra,0.35445904473205003,0.12564121439235748,4.370329322557797,0.39791204974184363,0.9905486245987116
2,1,0,root,2,0,root,0.5234157042813242,0.2739639994883146,2.9430290319976264,0.18044624756626848,17.245958778876453
2,1,0,root,2,1,extra,0.8231881207150399,0.6776386820863591,2.5307146984131426,0.1334274350992567,19.24200103033138
2,1,0,root,2,2,extra,0.6308753975387155,0.39800376721963227,2.774877977399303,0.16041557894699268,18.022143850471323
2,1,0,root,3,0,root,0.6719268909135659,0.4514857467327712,2.6589247283538207,0.14728918148023834,25.696051829175705
2,1,0,root,3,1,extra,1.0913521530837402,1.1910495220405157,1.8998786230399367,0.0751987246309193,39.46657523781188
