dataset,method,train_per_class,n,val_mean,val_std,test_mean,test_std
squirrel,ridge_raw,3,5,0.24533333333333332,0.026415483674878608,0.24864972200158855,0.009326887077209859
squirrel,ridge_raw,5,5,0.25200000000000006,0.005577733510227172,0.2502984480700358,0.006188750901311486
squirrel,ridge_raw,8,5,0.27066666666666667,0.041257995858042136,0.24565954899221715,0.008471357125041363
squirrel,ridge_raw,10,5,0.2586666666666667,0.03346640106136302,0.24235152969406118,0.00900042186356881
squirrel,ridge_raw,15,5,0.2533333333333333,0.06,0.2463022508038585,0.008076928248796588
squirrel,ridge_raw,20,5,0.26666666666666666,0.05120763831912405,0.24948495253484143,0.004735544719289797
squirrel,src_v16c,1,5,0.21733333333333332,0.031126980079810004,0.21601268331351564,0.015654083582759343
squirrel,src_v16c,2,5,0.24133333333333332,0.045801504099513786,0.2339218409045824,0.008618859288402584
squirrel,src_v16c,3,5,0.2813333333333333,0.023285665595430643,0.2528594122319301,0.018716553764517706
squirrel,src_v16c,5,5,0.2586666666666667,0.02804757862395017,0.25316354954237963,0.015668823701168105
squirrel,src_v16c,8,5,0.27066666666666667,0.06775773838545018,0.2672520454999002,0.022475384896210628
squirrel,src_v16c,10,5,0.29333333333333333,0.032998316455372226,0.2751449710057988,0.02433440180216162
squirrel,src_v16c,15,5,0.30533333333333335,0.027243755655603417,0.2913183279742765,0.02920929472773244
squirrel,src_v16c,20,5,0.32533333333333336,0.02882899774725287,0.3012724702080388,0.009913053383172539
texas,ridge_multihop5,1,5,0.5288461538461539,0.07540570741037558,0.504,0.3625097699832838
texas,ridge_multihop5,2,5,0.6196078431372549,0.054321157557627724,0.8136986301369863,0.07602431192061153
texas,ridge_multihop5,3,5,0.7111111111111111,0.044946657497549475,0.7,0.10467468711898209
texas,ridge_multihop5,5,5,0.7419354838709677,0.08500746398302092,0.6628571428571428,0.23638432904997775
texas,ridge_multihop5,8,5,0.7714285714285715,0.04242507066953683,0.7582089552238805,0.09521873377753182
texas,ridge_multihop5,10,5,0.8256410256410257,0.051760587790221406,0.8553846153846154,0.04156694180340399
texas,ridge_multihop5,15,5,0.8571428571428571,0.025097441747368093,0.8266666666666668,0.043461349368017606
texas,ridge_multihop5,20,5,0.8846153846153847,0.04902903378454598,0.8290909090909091,0.055447093389006906
texas,ridge_raw,1,5,0.5134615384615385,0.08033307143925163,0.752,0.18441499095488117
texas,ridge_raw,2,5,0.5862745098039215,0.08996133134866247,0.5041095890410958,0.24301076429480456
texas,ridge_raw,3,5,0.6747474747474748,0.04368029961704981,0.5888888888888889,0.21008522667987814
texas,ridge_raw,5,5,0.778494623655914,0.03450926136748648,0.7228571428571429,0.06515288143423649
texas,ridge_raw,8,5,0.8238095238095238,0.03409005015065799,0.7522388059701492,0.11733280004199136
texas,ridge_raw,10,5,0.8615384615384615,0.027794209472665136,0.7753846153846153,0.06758733118919628
texas,ridge_raw,15,5,0.8698412698412697,0.04404583150956065,0.8099999999999999,0.04801620096962639
texas,ridge_raw,20,5,0.8961538461538462,0.055403308811107436,0.8145454545454545,0.04340849595023022
texas,src_v16c,1,5,0.5173076923076924,0.10672643788855085,0.5066666666666666,0.3596294389136314
texas,src_v16c,2,5,0.6058823529411764,0.07946621227121349,0.7643835616438356,0.07773293676225265
